filename,transcription
f480b8a93bf84b7f74c141284a71c39ff47d264a75dc905dc918286fb67f0333595206ff953a27b8049c7ec09ea895aa66d1cd4f7547535167d3d7901d12feab.npy,"Unfortunately, nobody can warrant the sanctions that will have an effect on the community."
82b8edf3f1420295069b5bb4543b8f349faaca28f45a3279b0cd64c39d16afb590a4cc70ed805020161f8c1f94bc63d3b69756fbc5a0462ce12d2e17c4ebaeeb.npy,When is The Devil with Hitler playing in Bow Tie Cinemas
2ddb6b572fade1894c00fa21988dca74b117c2fe8863559ddb31b54cb9e82674becd53857ce1fde1dc6d54823adcfe9f46c2613a8a43c7d2813ab2ba0f892863.npy,There's a surprising amount of words in it.
16da46b68b1a3e41728134be4ba5307213e63c383760ad06ac60f4ea121dd57860fd7ffeac21f7b6ee3579517fd7396dd69cff6a137c3b620d3b95863b68e89c.npy,Add the album to my Heavy Gamer playlist.
2dcc39c6a444f9c30b64d79020527a140318d1fb6ee3079336356fc87ad7dc44df92bbaab72e938d40b2a7b74920d0b185f2ea728f01966b495fbad7997e17cf.npy,Add ramble on to Halloween Teens
1afdbe56a16c841507dac2cf6422a42cd595fb638fadc6d9b4954b127c5d34cc86eb70bc2d05f6dad47fc2edc58cdd8d04e7fbfbf6bf5559d428568d13a6505f.npy,Is it cold here?
f0274fd874aa1bf4a74c831361946ba555e96fb0ee6c3b576e237645e03d59745e1d2e03f83c6718f4dd94f325721e28a74ef78112b1d308e88fa8b6008892f0.npy,Two men dressed in dark orange coverings and sandals stand near a large reflective sculpture.
510eb167ca43ac170760436027269c8a1e2eb7e117d0e2d6df9acf3081533646167146af88dc203ce75ab04fdf1a45fce1706afb173978b160098175d294eeb2.npy,You should see it.
47bf98aa1fb2eaaef27b8fbb66389e65d122848444a2d8d9f1dd718ec09c2edaab041b9417ac2ec2305150aab3eafe7d91894877029fb5b8dd6bbbe476ddb14f.npy,There's a thread in their forums complaining about this.
e469ca95df92228dc84ad1cff0850d4473b7565a233a00d1518af3fb3dc4467d619f86ee2d3d224259ec94ec9bde76822c3eed9764c56ee027948a81752caba3.npy,A man with thick black rimmed glasses and a guitar sitting out on the sidewalk.
bdceb26b643e147004bc79134ee04efd6079cb05359523e11a1350a146755ae221bdc06737c9b41d0937034d00c90655dd92c801072aef01fecfb8041e051f45.npy,A man in a brown hat is helping a man with no hair up off the ground.
aabac9faabd62f27a1294426c899b851d03051158770a6898563e6ea3ac3fadc7ec57f0cea685ef725a9b733e89981b7426cd81c77e6d17b8b5d03588b7b7311.npy,Hoist the load to your left shoulder.
08e0326adb28d1f5fcbb060270cc45b552be912e51e037784e0d9b475015fa708151b6a61f321a2c99a6157444d3ff17367f17d948a7998c1a432601e35e348c.npy,"Oh, it’s not such a big deal right away."
