client_id	path	sentence	up_votes	down_votes	age	gender	accent
55451a804635a88160a09b9b8122e3dddba46c2e6df2d6d9ec9d3445c38180fd18516d76acc9035978f27ee1f798f480dcb55dcbd31a142374c3af566c9be3c4	f480b8a93bf84b7f74c141284a71c39ff47d264a75dc905dc918286fb67f0333595206ff953a27b8049c7ec09ea895aa66d1cd4f7547535167d3d7901d12feab	Unfortunately, nobody can warrant the sanctions that will have an effect on the community.	3	0	twenties	female	canada
55451a804635a88160a09b9b8122e3dddba46c2e6df2d6d9ec9d3445c38180fd18516d76acc9035978f27ee1f798f480dcb55dcbd31a142374c3af566c9be3c4	7647873ce81cd81c90b9e0fe3cb6c85cc03df7c0c4fdf2a04c356d75063af4b9de296a24e3bef0ba7ef0b0105d166abf35597e9c9a4b3857fd09c57b79f65a99	Came down and picked it out himself.	2	0	twenties	female	canada
55451a804635a88160a09b9b8122e3dddba46c2e6df2d6d9ec9d3445c38180fd18516d76acc9035978f27ee1f798f480dcb55dcbd31a142374c3af566c9be3c4	81a3dd920de6251cc878a940aff258e859ef13efb9a6446610ab907e08832fafdc463eda334ee74a24cc02e3652a09f5573c133e6f46886cb0ba463efc7a6b43	She crossed the finish line just in time.	2	0	twenties	female	canada
5b8c0f566c1201a94e684a334cf8a2cbced8a009a5a346fc24f1d51446c6b8610fc7bd78f69e559b29d138ab92652a45408ef87c3ec0e426d2fc5f1b2b44935b	5e6fc96a7bc91ec2261a51e7713bb0ed8a9f4fa9e20a38060dc4544fb0c2600c192d6e849915acaf8ea0766a9e1d481557d674363e780dbb064586352e560f2c	Please find me the Home at Last trailer.	2	0			
5b8c0f566c1201a94e684a334cf8a2cbced8a009a5a346fc24f1d51446c6b8610fc7bd78f69e559b29d138ab92652a45408ef87c3ec0e426d2fc5f1b2b44935b	3a0929094a9aac80b961d479a3ee54311cc0d60d51fe8f97071edc2999e7747444b261d2c0c2345f86fb8161f3b73a14dc19da911d19ca8d9db39574c6199a34	Play something by Louisiana Blues	2	0			
5b8c0f566c1201a94e684a334cf8a2cbced8a009a5a346fc24f1d51446c6b8610fc7bd78f69e559b29d138ab92652a45408ef87c3ec0e426d2fc5f1b2b44935b	82b8edf3f1420295069b5bb4543b8f349faaca28f45a3279b0cd64c39d16afb590a4cc70ed805020161f8c1f94bc63d3b69756fbc5a0462ce12d2e17c4ebaeeb	When is The Devil with Hitler playing in Bow Tie Cinemas	2	0			
60013a707ac8cdd2b44427418064915f7810b2d58d52d8f81ad3c6406b8922d61c134259747f3c73d2e64c885fc6141761d29f7e6ada7d6007c48577123e4af0	8606bac841a08bcbf5ddb83c768103c467ffd1bf38b16052414210dc3ce3267561cb0368d227b6eb420dc147387cc1807032102b6248a13a40f83e5ac06d7122	Give me the list of animated movies playing at the closest movie house	3	0			
60013a707ac8cdd2b44427418064915f7810b2d58d52d8f81ad3c6406b8922d61c134259747f3c73d2e64c885fc6141761d29f7e6ada7d6007c48577123e4af0	0f7e63d320cfbf6ea5d1cda674007131d804a06f5866d38f81da7def33a4ce8ee4f2cb7e47b45eee97903cad3160b3a10f715862227e8ecdc3fb3bafc6b4279d	The better part of valor is discretion	3	0			
609c23837aecb8f6dc80bb0a62696f36458c6d55571bbe134022c809cefd28cc0eb85d287323a034a34ca94739eb15c9358f6c3d92ed1d09b8011d75a93c422f	2ddb6b572fade1894c00fa21988dca74b117c2fe8863559ddb31b54cb9e82674becd53857ce1fde1dc6d54823adcfe9f46c2613a8a43c7d2813ab2ba0f892863	"There's a surprising amount of words in it."	2	1			
609c23837aecb8f6dc80bb0a62696f36458c6d55571bbe134022c809cefd28cc0eb85d287323a034a34ca94739eb15c9358f6c3d92ed1d09b8011d75a93c422f	16da46b68b1a3e41728134be4ba5307213e63c383760ad06ac60f4ea121dd57860fd7ffeac21f7b6ee3579517fd7396dd69cff6a137c3b620d3b95863b68e89c	Add the album to my Heavy Gamer playlist.	2	0			
